type	guardian	id	clip_start	clip_end	time	day_night	hour	weekday	weekday_num	unixtime
truck	22720ac238e1	2015-03-02T10-02-20	33	63	2015-03-02T10:03:08.000Z	day	11	Mon	1	1425290588
truck	686862515160	2015-02-28T11-26-43	37	67	2015-02-28T11:27:35.000Z	day	12	Sat	6	1425122855
truck	22720ac238e1	2015-02-26T03-23-51	43	73	2015-02-26T03:24:49.000Z	night	4	Thu	4	1424921089
truck	5dbdf80c2085	2015-02-13T10-12-11	46	76	2015-02-13T10:13:12.000Z	day	11	Fri	5	1423822392
truck	686862515160	2015-02-28T10-54-32	48	78	2015-02-28T10:55:35.000Z	day	11	Sat	6	1425120935
truck	22720ac238e1	2015-03-02T09-45-39	49	79	2015-03-02T09:46:43.000Z	day	10	Mon	1	1425289603
truck	686862515160	2015-02-28T12-55-14	62	92	2015-02-28T12:56:31.000Z	day	13	Sat	6	1425128191
truck	686862515160	2015-02-28T16-16-23	66	96	2015-02-28T16:17:44.000Z	day	17	Sat	6	1425140264
truck	686862515160	2015-02-28T11-18-41	70	100	2015-02-28T11:20:06.000Z	day	12	Sat	6	1425122406
truck	5dbdf80c2085	2015-02-14T08-34-39	76	106	2015-02-14T08:36:10.000Z	day	9	Sat	6	1423902970
truck	686862515160	2015-03-01T14-44-09	78	108	2015-03-01T14:45:42.000Z	day	15	Sun	7	1425221142
truck	686862515160	2015-02-28T12-55-14	80	110	2015-02-28T12:56:49.000Z	day	13	Sat	6	1425128209
truck	5dbdf80c2085	2015-02-14T04-03-44	88	118	2015-02-14T04:05:27.000Z	night	5	Sat	6	1423886727
truck	5dbdf80c2085	2015-02-12T16-56-42	93	123	2015-02-12T16:58:30.000Z	day	17	Thu	4	1423760310
truck	22720ac238e1	2015-02-26T15-32-24	93	123	2015-02-26T15:34:12.000Z	day	16	Thu	4	1424964852
truck	5dbdf80c2085	2015-02-13T09-30-03	96	126	2015-02-13T09:31:54.000Z	day	10	Fri	5	1423819914
truck	5dbdf80c2085	2015-02-12T16-56-42	100	130	2015-02-12T16:58:37.000Z	day	17	Thu	4	1423760317
truck	686862515160	2015-02-28T15-22-04	107	137	2015-02-28T15:24:06.000Z	day	16	Sat	6	1425137046
truck	ed7f84df28eb	2015-02-07T12-43-03	114	144	2015-02-07T12:45:12.000Z	day	13	Sat	6	1423313112
truck	686862515160	2015-02-27T13-34-57	138	168	2015-02-27T13:37:30.000Z	day	14	Fri	5	1425044250
truck	686862515160	2015-02-27T13-34-57	146	176	2015-02-27T13:37:38.000Z	day	14	Fri	5	1425044258
truck	6a7b86c28a67	2015-02-14T03-21-17	153	183	2015-02-14T03:24:05.000Z	night	4	Sat	6	1423884245
truck	ed7f84df28eb	2015-02-07T17-13-35	176	206	2015-02-07T17:16:46.000Z	night	18	Sat	6	1423329406
truck	22720ac238e1	2015-02-26T11-19-24	188	218	2015-02-26T11:22:47.000Z	day	12	Thu	4	1424949767
truck	ed7f84df28eb	2015-02-07T13-37-16	226	256	2015-02-07T13:41:17.000Z	day	14	Sat	6	1423316477
truck	22720ac238e1	2015-02-25T15-51-34	265	295	2015-02-25T15:56:14.000Z	day	16	Wed	3	1424879774
truck	5dbdf80c2085	2015-02-13T03-52-56	305	335	2015-02-13T03:58:16.000Z	night	4	Fri	5	1423799896
truck	6a7b86c28a67	2015-02-16T15-45-30	335	365	2015-02-16T15:51:20.000Z	day	16	Mon	1	1424101880
