type	id	guardian	time	unixtime	weekday	weekday_num	hour	day_night	seek	location
car	22720ac238e1-2015-02-25T16-03-37	22720ac238e1	2015-02-25T16:05:00.000Z	1424880300	Wed	3	17	day	1:23	22720ac238e1-2015-02-25T16-03-37.wav
car	22720ac238e1-2015-02-26T11-07-21	22720ac238e1	2015-02-26T11:10:35.000Z	1424949035	Thu	4	12	day	3:14	22720ac238e1-2015-02-26T11-07-21.wav
car	22720ac238e1-2015-02-26T11-25-25	22720ac238e1	2015-02-26T11:26:45.000Z	1424950005	Thu	4	12	day	1:20	22720ac238e1-2015-02-26T11-25-25.wav
car	d2f3d1c7cca5-2015-02-28T09-15-47	d2f3d1c7cca5	2015-02-28T09:16:43.000Z	1425115003	Sat	6	10	day	0:56	d2f3d1c7cca5-2015-02-28T09-15-47.wav
car	686862515160-2015-02-28T10-44-29	686862515160	2015-02-28T10:45:51.000Z	1425120351	Sat	6	11	day	1:22	686862515160-2015-02-28T10-44-29.wav
car	686862515160-2015-02-28T12-55-14	686862515160	2015-02-28T12:56:29.000Z	1425128189	Sat	6	13	day	1:15	686862515160-2015-02-28T12-55-14.wav
car	686862515160-2015-03-01T16-04-36	686862515160	2015-03-01T16:06:13.000Z	1425225973	Sun	7	17	day	1:37	686862515160-2015-03-01T16-04-36.wav
car	686862515160-2015-03-01T16-04-36	686862515160	2015-03-01T16:06:17.000Z	1425225977	Sun	7	17	day	1:41	686862515160-2015-03-01T16-04-36.wav
car	22720ac238e1-2015-03-02T12-14-14	22720ac238e1	2015-03-02T12:14:51.000Z	1425298491	Mon	1	13	day	0:37	22720ac238e1-2015-03-02T12-14-14.wav
car	686862515160-2015-03-02T12-19-41	686862515160	2015-03-02T12:19:47.000Z	1425298787	Mon	1	13	day	0:06	686862515160-2015-03-02T12-19-41.wav
car	686862515160-2015-03-03T12-22-51	686862515160	2015-03-03T12:23:53.000Z	1425385433	Tue	2	13	day	1:02	686862515160-2015-03-03T12-22-51.wav
car	686862515160-2015-03-03T12-22-51	686862515160	2015-03-03T12:23:57.000Z	1425385437	Tue	2	13	day	1:06	686862515160-2015-03-03T12-22-51.wav
car	d2f3d1c7cca5-2015-03-04T15-03-41	d2f3d1c7cca5	2015-03-04T15:04:54.000Z	1425481494	Wed	3	16	day	1:13	d2f3d1c7cca5-2015-03-04T15-03-41.wav
car	d2f3d1c7cca5-2015-03-04T15-03-41	d2f3d1c7cca5	2015-03-04T15:05:05.000Z	1425481505	Wed	3	16	day	1:24	d2f3d1c7cca5-2015-03-04T15-03-41.wav
chainsaw	48043ef7e3bc-2015-01-27T15-33-50	48043ef7e3bc	2015-01-27T15:37:43.000Z	1422373063	Tue	2	16	day	3:53	48043ef7e3bc-2015-01-27T15-33-50.wav
chainsaw	48043ef7e3bc-2015-01-27T15-39-50	48043ef7e3bc	2015-01-27T15:41:28.000Z	1422373288	Tue	2	16	day	1:38	48043ef7e3bc-2015-01-27T15-39-50.wav
chainsaw	48043ef7e3bc-2015-01-27T15-39-50	48043ef7e3bc	2015-01-27T15:42:05.000Z	1422373325	Tue	2	16	day	2:15	48043ef7e3bc-2015-01-27T15-39-50.wav
chainsaw	48043ef7e3bc-2015-01-28T12-34-10	48043ef7e3bc	2015-01-28T12:35:32.000Z	1422448532	Wed	3	13	day	1:22	48043ef7e3bc-2015-01-28T12-34-10.wav
chainsaw	48043ef7e3bc-2015-01-28T12-34-10	48043ef7e3bc	2015-01-28T12:35:58.000Z	1422448558	Wed	3	13	day	1:48	48043ef7e3bc-2015-01-28T12-34-10.wav
chainsaw	48043ef7e3bc-2015-01-28T12-34-10	48043ef7e3bc	2015-01-28T12:36:09.000Z	1422448569	Wed	3	13	day	1:59	48043ef7e3bc-2015-01-28T12-34-10.wav
chainsaw	48043ef7e3bc-2015-01-28T12-52-12	48043ef7e3bc	2015-01-28T12:53:11.000Z	1422449591	Wed	3	13	day	0:59	48043ef7e3bc-2015-01-28T12-52-12.wav
chainsaw	48043ef7e3bc-2015-01-28T14-16-22	48043ef7e3bc	2015-01-28T14:17:35.000Z	1422454655	Wed	3	15	day	1:13	48043ef7e3bc-2015-01-28T14-16-22.wav
chainsaw	48043ef7e3bc-2015-01-28T14-16-22	48043ef7e3bc	2015-01-28T14:17:43.000Z	1422454663	Wed	3	15	day	1:21	48043ef7e3bc-2015-01-28T14-16-22.wav
chainsaw	48043ef7e3bc-2015-01-28T14-16-22	48043ef7e3bc	2015-01-28T14:19:42.000Z	1422454782	Wed	3	15	day	3:20	48043ef7e3bc-2015-01-28T14-16-22.wav
chainsaw	48043ef7e3bc-2015-01-28T14-16-22	48043ef7e3bc	2015-01-28T14:21:20.000Z	1422454880	Wed	3	15	day	4:58	48043ef7e3bc-2015-01-28T14-16-22.wav
