type	id	guardian	time	unixtime	weekday	weekday_num	hour	day_night	seek	location
motorcycle	6a7b86c28a67-2015-02-14T23-01-13	6a7b86c28a67	2015-02-14T23:01:28.000Z	1423954888	Sun	7	0	night	0:15	6a7b86c28a67-2015-02-14T23-01-13.wav
motorcycle	6a7b86c28a67-2015-02-15T10-51-35	6a7b86c28a67	2015-02-15T10:52:37.000Z	1423997557	Sun	7	11	day	1:02	6a7b86c28a67-2015-02-15T10-51-35.wav
motorcycle	b0eb9c751fa5-2015-02-16T13-12-46	b0eb9c751fa5	2015-02-16T13:17:00.000Z	1424092620	Mon	1	14	day	4:14	b0eb9c751fa5-2015-02-16T13-12-46.wav
motorcycle	d2f3d1c7cca5-2015-02-28T08-51-28	d2f3d1c7cca5	2015-02-28T08:51:45.000Z	1425113505	Sat	6	9	day	0:17	d2f3d1c7cca5-2015-02-28T08-51-28.wav
motorcycle	d2f3d1c7cca5-2015-02-28T09-05-42	d2f3d1c7cca5	2015-02-28T09:05:49.000Z	1425114349	Sat	6	10	day	0:07	d2f3d1c7cca5-2015-02-28T09-05-42.wav
motorcycle	d2f3d1c7cca5-2015-02-28T09-05-42	d2f3d1c7cca5	2015-02-28T09:06:44.000Z	1425114404	Sat	6	10	day	1:02	d2f3d1c7cca5-2015-02-28T09-05-42.wav
motorcycle	d2f3d1c7cca5-2015-02-28T09-15-47	d2f3d1c7cca5	2015-02-28T09:17:05.000Z	1425115025	Sat	6	10	day	1:18	d2f3d1c7cca5-2015-02-28T09-15-47.wav
motorcycle	d2f3d1c7cca5-2015-02-28T09-15-47	d2f3d1c7cca5	2015-02-28T09:17:19.000Z	1425115039	Sat	6	10	day	1:32	d2f3d1c7cca5-2015-02-28T09-15-47.wav
motorcycle	d2f3d1c7cca5-2015-03-01T10-28-28	d2f3d1c7cca5	2015-03-01T10:28:29.000Z	1425205709	Sun	7	11	day	0:01	d2f3d1c7cca5-2015-03-01T10-28-28.wav
motorcycle	22720ac238e1-2015-03-02T10-03-51	22720ac238e1	2015-03-02T10:04:23.000Z	1425290663	Mon	1	11	day	0:32	22720ac238e1-2015-03-02T10-03-51.wav
motorcycle	22720ac238e1-2015-03-02T11-12-03	22720ac238e1	2015-03-02T11:12:39.000Z	1425294759	Mon	1	12	day	0:36	22720ac238e1-2015-03-02T11-12-03.wav
motorcycle	d2f3d1c7cca5-2015-03-02T20-24-37	d2f3d1c7cca5	2015-03-02T20:25:06.000Z	1425327906	Mon	1	21	night	0:29	d2f3d1c7cca5-2015-03-02T20-24-37.wav
motorcycle	22720ac238e1-2015-03-02T21-24-38	22720ac238e1	2015-03-02T21:25:06.000Z	1425331506	Mon	1	22	night	0:28	22720ac238e1-2015-03-02T21-24-38.wav
motorcycle	d2f3d1c7cca5-2015-03-04T15-05-12	d2f3d1c7cca5	2015-03-04T15:06:23.000Z	1425481583	Wed	3	16	day	1:11	d2f3d1c7cca5-2015-03-04T15-05-12.wav
motorcycle	d2f3d1c7cca5-2015-03-04T15-05-12	d2f3d1c7cca5	2015-03-04T15:06:27.000Z	1425481587	Wed	3	16	day	1:15	d2f3d1c7cca5-2015-03-04T15-05-12.wav
motorcycle	d2f3d1c7cca5-2015-03-04T15-06-42	d2f3d1c7cca5	2015-03-04T15:08:02.000Z	1425481682	Wed	3	16	day	1:20	d2f3d1c7cca5-2015-03-04T15-06-42.wav
motorcycle	d2f3d1c7cca5-2015-03-04T15-08-13	d2f3d1c7cca5	2015-03-04T15:08:14.000Z	1425481694	Wed	3	16	day	0:01	d2f3d1c7cca5-2015-03-04T15-08-13.wav
motorcycle	48043ef7e3bc-2015-02-12T08-20-30	48043ef7e3bc	2015-02-12T08:21:32.000Z	1423729292	Thu	4	09	day	1:02	48043ef7e3bc-2015-02-12T08-20-30.wav
motorcycle	48043ef7e3bc-2015-02-12T08-20-30	48043ef7e3bc	2015-02-12T08:26:19.000Z	1423729579	Thu	4	09	day	5:49	48043ef7e3bc-2015-02-12T08-20-30.wav
